10,-20,765,В 2м/с,-22,765,В 2м/с
11,-20,764,Ш,-24,764,Ш
12,-20,762,З 2м/с,-20,761,З 2м/с
13,-9,756,ЮЗ 3м/с,-7,754,ЮЗ 3м/с
14,-6,751,ЮЗ 2м/с,-4,752,ЮЗ 2м/с
15,-1,753,З 1м/с,-2,754,З 1м/с
16,-1,759,Ш,-2,762,Ш
17,-4,765,Ю 3м/с,-4,765,Ю 3м/с
18,-8,765,Ю 1м/с,-10,765,Ю 1м/с
19,-9,765,Ш,-12,765,Ш
20,-9,762,Ю 3м/с,-14,762,Ю 3м/с
21,-15,759,В 2м/с,-17,759,В 2м/с
22,-13,753,В 4м/с,-11,751,В 4м/с
23,-9,751,Ю 3м/с,-9,751,Ю 3м/с
24,-11,750,В 3м/с,-10,751,В 3м/с
25,-8,753,В 1м/с,-10,751,В 1м/с
26,-4,742,Ю 2м/с,-3,741,Ю 2м/с
27,-1,735,В 2м/с,-2,735,В 2м/с
28,-1,741,ЮВ 3м/с,-3,744,ЮВ 3м/с
29,-4,749,Ю 1м/с,-5,750,Ю 1м/с
30,-6,753,С 1м/с,-5,753,С 1м/с
31,-7,753,В 1м/с,-11,753,В 1м/с
1,-11,753,ЮВ 1м/с,-14,753,ЮВ 1м/с
2,-12,756,В 1м/с,-11,758,В 1м/с
3,-6,756,В 1м/с,-5,754,В 1м/с
4,-3,756,З 4м/с,-2,754,З 4м/с
5,-1,759,З 1м/с,-9,760,З 1м/с
6,-6,760,З 2м/с,-9,761,З 2м/с
7,-8,765,Ш,-6,767,Ш
8,-10,773,В 2м/с,-15,773,В 2м/с
9,-14,774,ЮЗ 3м/с,-18,772,ЮЗ 3м/с
10,-12,762,ЮЗ 3м/с,-11,762,ЮЗ 3м/с
11,-3,760,ЮЗ 1м/с,-3,762,ЮЗ 1м/с
12,-5,763,ЮЗ 1м/с,-7,763,ЮЗ 1м/с
13,-4,758,ЮЗ 4м/с,-6,755,ЮЗ 4м/с
